Type,Price,SalePrice
CH,1.75,1.75
CH,1.75,1.75
CH,1.86,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.86,1.86
CH,1.86,1.59
CH,1.99,1.99
CH,1.86,1.86
CH,2.06,2.06
CH,2.06,2.06
CH,1.75,1.75
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.76,1.76
CH,1.86,1.86
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.39
CH,2.06,2.06
CH,1.89,1.89
CH,1.86,1.49
CH,1.96,1.96
CH,1.69,1.69
CH,1.99,1.99
CH,1.99,1.99
CH,1.76,1.76
CH,1.99,1.75
CH,1.99,1.89
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.86,1.86
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,2.09,2.09
CH,2.09,1.89
CH,2.09,1.89
CH,1.69,1.69
CH,1.79,1.79
CH,1.79,1.79
CH,1.99,1.99
CH,1.89,1.76
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.99
CH,2.09,2.09
CH,1.99,1.99
CH,2.09,1.89
CH,1.99,1.99
CH,2.09,2.09
CH,2.09,1.89
CH,1.79,1.79
CH,1.99,1.89
CH,1.99,1.99
CH,1.86,1.86
CH,1.75,1.75
CH,1.99,1.99
CH,1.99,1.49
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.86,1.86
CH,1.89,1.89
CH,1.86,1.69
CH,1.89,1.89
CH,1.89,1.89
CH,1.89,1.89
CH,1.86,1.86
CH,1.99,1.99
CH,1.89,1.76
CH,1.89,1.76
CH,1.89,1.76
CH,1.99,1.99
CH,1.86,1.86
CH,1.86,1.86
CH,1.99,1.99
CH,1.86,1.86
CH,1.86,1.86
CH,1.76,1.76
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.96,1.96
CH,1.96,1.96
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.75,1.75
CH,1.99,1.99
CH,1.99,1.99
CH,1.86,1.86
CH,2.09,1.89
CH,1.75,1.75
CH,1.75,1.75
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.76
CH,1.99,1.49
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.69,1.69
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.86,1.86
CH,1.99,1.89
CH,1.99,1.99
CH,1.99,1.99
CH,2.09,1.89
CH,2.09,1.89
CH,2.09,1.89
CH,1.86,1.86
CH,1.69,1.69
CH,1.69,1.69
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.86,1.86
CH,1.99,1.99
CH,1.86,1.86
CH,1.99,1.99
CH,1.99,1.99
CH,1.86,1.86
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.89
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.59
CH,1.99,1.89
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,2.09,1.89
CH,1.99,1.49
CH,2.09,1.89
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.75
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.76
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.49
CH,1.86,1.49
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.86
CH,1.96,1.96
CH,1.69,1.69
CH,1.69,1.69
CH,1.86,1.86
CH,1.76,1.76
CH,1.76,1.76
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.86,1.39
CH,1.99,1.99
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.79,1.79
CH,1.79,1.79
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.49
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.59
CH,1.86,1.86
CH,1.86,1.86
CH,1.99,1.99
CH,1.69,1.69
CH,1.69,1.69
CH,1.86,1.86
CH,1.99,1.89
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.99,1.99
CH,1.99,1.99
CH,1.86,1.86
CH,1.79,1.79
CH,1.79,1.79
CH,1.86,1.86
CH,1.86,1.86
CH,2.09,1.89
CH,2.09,1.89
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.86,1.86
CH,1.86,1.86
CH,1.96,1.96
CH,2.09,1.89
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.39
CH,1.69,1.69
CH,1.79,1.79
CH,1.75,1.75
CH,1.75,1.59
CH,1.89,1.89
CH,1.99,1.99
CH,1.89,1.76
CH,1.86,1.86
CH,1.86,1.86
CH,1.99,1.89
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.96,1.96
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.79,1.79
CH,1.79,1.79
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.89
CH,1.99,1.89
CH,1.69,1.69
CH,1.69,1.39
CH,1.76,1.76
CH,1.86,1.86
CH,1.99,1.89
CH,1.86,1.86
CH,1.76,1.76
CH,1.86,1.86
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.75,1.75
CH,1.86,1.76
CH,1.86,1.76
CH,1.76,1.76
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.59
CH,1.99,1.49
CH,2.06,2.06
CH,1.79,1.79
CH,1.99,1.99
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.99,1.99
CH,1.99,1.89
CH,1.99,1.99
CH,1.99,1.99
CH,1.86,1.86
CH,1.86,1.86
CH,1.79,1.79
CH,1.86,1.86
CH,1.75,1.75
CH,1.99,1.99
CH,1.86,1.86
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.86
CH,1.96,1.96
CH,1.86,1.39
CH,1.69,1.69
CH,1.75,1.75
CH,1.76,1.76
CH,1.69,1.69
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.59
CH,1.89,1.76
CH,1.86,1.86
CH,1.86,1.86
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.69,1.69
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.75,1.75
CH,1.79,1.79
CH,1.86,1.86
CH,1.75,1.59
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.49
CH,1.86,1.86
CH,1.99,1.99
CH,1.86,1.86
CH,1.86,1.39
CH,1.96,1.96
CH,1.99,1.99
CH,1.99,1.99
CH,1.69,1.69
CH,1.75,1.75
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.86
CH,1.79,1.79
CH,1.75,1.75
CH,1.79,1.79
CH,1.79,1.79
CH,1.79,1.79
CH,1.86,1.86
CH,1.99,1.99
CH,1.86,1.86
CH,1.99,1.99
CH,1.99,1.99
CH,1.99,1.99
CH,1.69,1.69
CH,1.69,1.69
CH,1.99,1.99
CH,2.09,1.89
CH,1.99,1.99
CH,1.86,1.49
CH,1.86,1.49
CH,1.99,1.89
CH,1.99,1.89
CH,1.86,1.86
CH,1.75,1.75
CH,1.86,1.86
CH,1.99,1.99
CH,1.76,1.76
CH,1.76,1.76
CH,1.96,1.96
CH,1.86,1.86
CH,1.76,1.76
CH,1.76,1.76
CH,1.76,1.76
CH,1.76,1.76
CH,1.76,1.76
CH,1.86,1.86
CH,1.96,1.96
CH,1.75,1.75
CH,1.86,1.86
CH,1.99,1.99
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.86
CH,1.99,1.89
CH,1.86,1.86
CH,1.86,1.39
CH,1.99,1.99
CH,1.96,1.96
CH,2.09,1.89
CH,1.89,1.89
CH,1.79,1.79
CH,1.69,1.69
CH,1.86,1.86
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.86
CH,1.86,1.86
CH,1.86,1.39
CH,1.86,1.39
CH,1.96,1.96
CH,1.99,1.99
CH,1.99,1.49
CH,1.86,1.86
CH,1.86,1.76
CH,1.86,1.49
CH,1.86,1.49
CH,1.86,1.86
CH,1.86,1.59
CH,1.86,1.39
CH,1.89,1.76
CH,1.89,1.76
CH,1.86,1.86
CH,1.79,1.79
CH,1.79,1.79
CH,1.75,1.75
CH,1.75,1.75
CH,1.79,1.79
CH,1.75,1.75
